customerid,churn,monthlyrevenue,monthlyminutes,totalrecurringcharge,directorassistedcalls,overageminutes,roamingcalls,percchangeminutes,percchangerevenues,droppedcalls,blockedcalls,unansweredcalls,customercarecalls,threewaycalls,receivedcalls,outboundcalls,inboundcalls,peakcallsinout,offpeakcallsinout,droppedblockedcalls,callforwardingcalls,callwaitingcalls,monthsinservice,uniquesubs,activesubs,handsets,handsetmodels,currentequipmentdays,agehh1,agehh2,childreninhh,handsetrefurbished,handsetwebcapable,truckowner,rvowner,homeownership,buysviamailorder,respondstomailoffers,optoutmailings,nonustravel,ownscomputer,hascreditcard,retentioncalls,retentionoffersaccepted,newcellphoneuser,notnewcellphoneuser,referralsmadebysubscriber,incomegroup,ownsmotorcycle,adjustmentstocreditrating,handsetprice,madecalltoretentionteam,creditrating,churn_proba,is_in_flare
3183090,1,67.74,0.0,85.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,196,53,1.0,1.0,430.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.9213196355550823,False
3108234,1,16.99,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,10,9,1.0,1.0,700.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.9087705431201315,False
3014306,1,86.97,193.0,17.0,0.0,0.0,70.0,547.0,209.9,1.3,0.3,0.3,0.0,0.0,0.8,0.0,0.0,1.7,0.0,1.7,0.0,0.0,39,1,1,1.0,1.0,1180.0,40.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,,0,7.0,0.9010706969761435,False
3313730,1,34.99,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11,2,2,4.0,2.0,253.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,5.0,0.8656055152659679,False
3219878,1,9.54,0.0,10.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,1,2.0,1.0,313.0,36.0,50.0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,9,0,0,200.0,1,6.0,0.864664358337585,False
3210738,1,98.75,1524.0,75.0,2.48,64.0,0.0,-316.0,-20.5,51.0,40.7,266.0,0.0,0.0,304.3,47.7,15.3,516.0,389.7,91.7,0.0,22.0,12,9,8,2.0,1.0,212.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,,0.8614994527578757,False
3389454,1,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,2,1.0,1.0,188.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,0.8600036676817646,False
3347810,1,90.76,226.0,56.0,0.0,0.0,41.2,-222.0,-52.5,3.7,0.7,9.7,0.7,0.0,39.9,6.3,0.0,43.0,11.0,4.3,0.0,0.0,12,1,1,1.0,1.0,353.0,84.0,62.0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,7,0,0,,1,6.0,0.8564202976709845,False
3318582,1,125.22,331.0,40.0,0.0,0.0,95.2,-331.0,-95.2,1.7,0.3,2.7,0.0,0.0,2.5,3.7,0.0,9.3,1.3,2.0,0.0,0.0,11,2,2,1.0,1.0,318.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6.0,0.8437277753919934,False
3316538,1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,2,1.0,1.0,320.0,40.0,40.0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,5,1,0,,0,5.0,0.8437226708494212,False
3191090,1,26.42,0.0,30.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,2,4.0,4.0,268.0,24.0,0.0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,6,0,0,100.0,0,4.0,0.839209404687424,False
3356530,1,19.86,0.0,30.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,2,1.0,1.0,331.0,42.0,42.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,0,0,,0,6.0,0.8379907764932767,False
3227666,1,109.52,673.0,37.0,6.93,236.0,4.6,-673.0,-86.3,1.3,25.0,20.0,0.3,0.0,24.6,3.3,0.0,39.3,77.7,26.3,0.0,0.7,11,1,1,1.0,1.0,336.0,50.0,48.0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,7,0,0,,1,6.0,0.8365640731105539,False
3318634,1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,2,2.0,2.0,257.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,7.0,0.8341967935075445,False
3288438,1,110.89,112.0,30.0,0.0,1.0,6.5,-4.0,39.9,18.7,1.0,17.3,0.0,0.0,12.0,5.0,0.0,16.7,8.3,19.7,0.0,0.3,8,1,1,3.0,2.0,60.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,130.0,1,1.0,0.8197293539704392,False
3004866,1,59.95,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1,1,1.0,1.0,1382.0,42.0,42.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,9,0,0,,0,7.0,0.8169631990262033,False
3046494,1,55.39,314.0,50.0,0.74,34.0,4.1,-301.0,-24.8,1.3,0.0,13.0,0.7,0.0,0.7,4.0,0.0,13.0,9.0,1.3,0.0,0.0,33,2,1,2.0,2.0,990.0,68.0,66.0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,5,0,1,30.0,1,5.0,0.8029128800960704,False
3283970,1,23.96,38.0,26.0,0.0,19.0,0.0,-38.0,-17.5,0.7,0.0,2.3,0.0,0.0,5.3,0.3,0.0,9.7,1.7,0.7,0.0,0.0,12,1,1,2.0,2.0,73.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,200.0,1,6.0,0.7991870159081604,False
3002418,1,5.04,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,3,1,2.0,2.0,1004.0,32.0,32.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,8,0,1,30.0,0,7.0,0.7914117935101062,False
3312142,1,22.74,112.0,40.0,0.25,0.0,0.0,-112.0,7.2,3.3,0.0,10.0,0.0,0.0,40.2,16.0,7.3,62.7,13.3,3.3,0.0,0.0,13,2,2,1.0,1.0,386.0,26.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,0,0,6,0,0,,1,,0.7913756728858212,False
3002214,1,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,1,1,1.0,1.0,1535.0,38.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8,0,0,,0,7.0,0.7913371906279376,False
3322618,0,33.09,112.0,35.0,0.5,0.0,2.9,-112.0,-23.1,1.7,0.3,2.7,0.0,0.0,10.1,9.0,0.3,40.7,3.3,2.0,0.0,0.3,11,1,1,1.0,1.0,315.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,1,6.0,0.7888591432453036,False
3314930,1,19.99,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,1,3.0,3.0,347.0,70.0,66.0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,6,0,0,10.0,1,7.0,0.7838254051340201,False
3286066,1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,2,2.0,2.0,225.0,42.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,100.0,0,4.0,0.7831602401827205,False
3263770,1,49.99,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,2,1.0,1.0,349.0,56.0,50.0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,9,1,0,,0,6.0,0.7809556169900695,False
3006838,1,40.07,81.0,30.0,0.0,28.0,0.0,-81.0,-10.1,1.3,0.7,10.0,0.3,0.0,0.0,3.7,0.0,7.0,6.0,2.0,0.0,0.0,42,1,1,1.0,1.0,1278.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,1,7.0,0.780867501018385,False
3257210,1,55.02,277.0,45.0,1.49,53.0,0.0,-277.0,-20.0,19.0,24.7,16.3,0.0,0.7,216.6,17.3,1.3,114.0,56.7,43.7,0.0,1.3,16,1,1,1.0,1.0,464.0,58.0,56.0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,9,0,0,,0,,0.7591862047273552,False
3046166,1,49.99,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1,1,4.0,3.0,431.0,28.0,18.0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,9,0,0,80.0,0,3.0,0.7371137360533718,False
3023042,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3,2,2.0,2.0,461.0,58.0,56.0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,8,0,0,30.0,0,7.0,0.7226393417668059,False
3049602,1,200.17,954.0,70.0,0.0,349.0,0.0,-793.0,-126.9,7.7,2.0,80.0,0.0,0.0,376.1,51.7,17.0,356.3,88.7,9.7,0.0,9.7,26,3,2,1.0,1.0,805.0,38.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,,1,7.0,0.7060990452776089,False
3016186,1,49.99,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1,1,1.0,1.0,1156.0,54.0,54.0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,7,0,0,,0,7.0,0.6945579002151897,False
3083818,1,48.75,0.0,49.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,1.0,1.0,836.0,52.0,52.0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,,0,1.0,0.6758523886311889,False
3009050,1,22.46,269.0,10.0,0.0,0.0,12.4,-24.0,10.8,2.0,9.3,30.7,0.0,0.0,35.2,26.0,0.0,68.3,30.7,11.3,0.0,0.0,39,2,2,1.0,1.0,1192.0,42.0,36.0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,7,0,0,,0,7.0,0.6644709874510044,False
3211342,1,224.17,948.0,58.0,0.74,400.0,0.0,1327.0,302.0,14.0,30.3,8.3,0.0,3.3,138.9,22.0,0.0,152.3,36.0,44.3,0.0,1.7,12,1,1,1.0,1.0,367.0,30.0,28.0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,7,0,0,,0,6.0,0.6400072071585262,False
3305670,1,48.38,232.0,45.0,0.0,38.0,0.0,-228.0,-13.4,2.0,2.0,2.0,0.3,0.0,20.2,11.7,0.3,13.0,15.7,4.0,0.0,0.0,11,1,1,1.0,1.0,332.0,56.0,30.0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,7,0,0,,0,6.0,0.6337836868164871,False
3312150,1,10.55,368.0,10.0,0.0,0.0,0.6,-368.0,-0.6,17.0,6.7,18.0,0.0,0.0,88.5,56.0,12.0,56.7,84.0,23.7,0.0,1.7,11,4,4,1.0,1.0,325.0,46.0,46.0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4,0,0,,0,7.0,0.6235185440425087,False
3084818,1,58.24,254.0,55.0,0.0,0.0,0.0,-254.0,0.0,5.0,0.0,1.3,0.0,0.0,170.2,6.3,5.0,83.0,4.0,5.0,0.0,1.0,24,2,2,1.0,1.0,726.0,30.0,28.0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,4,0,0,,0,6.0,0.6161161766391507,False
3105202,0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1,1.0,1.0,662.0,32.0,24.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,0,,0,6.0,0.6105194718331339,False
3129850,1,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,1.0,1.0,626.0,32.0,32.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,4,0,0,,0,6.0,0.6086071139919906,False
3283606,1,40.44,281.0,45.0,1.73,4.0,0.0,302.0,-31.2,1.7,0.0,17.7,2.3,0.3,43.2,21.0,4.0,67.0,12.3,2.0,0.0,0.0,12,2,1,3.0,2.0,90.0,74.0,84.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,100.0,1,6.0,0.6073207284679972,False
3078934,1,28.49,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,2,2.0,2.0,709.0,60.0,54.0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,8,0,0,10.0,0,5.0,0.6037622757082369,False
